// Reference=MNI
// Richards et al., 2008: adult dyslexics vs. normal adult readers, controls greater
// Subjects=21
-35	-7	38
52	0	21
19	55	17
36	36	17
55	19	0
38	43	1
-47	38	-12
51	36	-8
14	3	61
9	-94	12
-10	-89	-17
-20	-90	18
26	-76	26
42	-77	18
-20	-84	-19
41	-11	-32
-52	-19	30
53	-1	22
-14	-72	47
-30	-43	45
47	-47	40
-10	-72	48
-17	11	2
-48	-33	8
-23	15	-31
-47	-34	8
-60	-54	-19
41	-9	-33
-14	-1	36
-17	11	2
-16	-4	40
-18	-47	33
-46	-28	-12
-37	-23	32
-21	9	20

// Deutsch et al., 2005: dyslexics vs. controls, controls greater 
// Subjects=14
-28.3	-25.14	23.88
30.96	-44.26	30.39
-22.15	24.29	20.46

// Steinbrink et al., 2008: dyslexics vs. controls, controls greater   
// Subjects=16
-21	27	6
-30	0	9
-33	-7	6
-24	-87	15
30	0	15
